medal_date,medal_type,name,gender,country,discipline,event
08-08-2024,Bronze Medal,WATSON Sam,Male,United States,Sport Climbing,Men's Speed
08-08-2024,Gold Medal,RASHITOV Ulugbek,Male,Uzbekistan,Taekwondo,Men -68kg
08-08-2024,Silver Medal,KAREEM Zaid,Male,Jordan,Taekwondo,Men -68kg
08-08-2024,Bronze Medal,LIANG Yushuai,Male,China,Taekwondo,Men -68kg
08-08-2024,Bronze Medal,PONTES Edival,Male,Brazil,Taekwondo,Men -68kg
08-08-2024,Gold Medal,KIM Yujin,Female,Korea,Taekwondo,Women -57kg
08-08-2024,Silver Medal,KIYANICHANDEH Nahid,Female,IR Iran,Taekwondo,Women -57kg
08-08-2024,Bronze Medal,PARK Skylar,Female,Canada,Taekwondo,Women -57kg
08-08-2024,Bronze Medal,KIMIA Alizadeh,Female,Bulgaria,Taekwondo,Women -57kg
08-08-2024,Gold Medal,JUNIANSYAH Rizki,Male,Indonesia,Weightlifting,Men's 73kg
08-08-2024,Silver Medal,WICHUMA Weeraphon,Male,Thailand,Weightlifting,Men's 73kg
08-08-2024,Bronze Medal,ANDREEV Bozhidar Dimitrov,Male,Bulgaria,Weightlifting,Men's 73kg
08-08-2024,Gold Medal,LUO Shifang,Female,China,Weightlifting,Women's 59kg
08-08-2024,Silver Medal,CHARRON Maude,Female,Canada,Weightlifting,Women's 59kg
08-08-2024,Bronze Medal,KUO Hsing-Chun,Female,Chinese Taipei,Weightlifting,Women's 59kg
08-08-2024,Gold Medal,ESMAEILI LEIVESI Saeid,Male,IR Iran,Wrestling,Men's Greco-Roman 67kg
08-08-2024,Silver Medal,NASIBOV Parviz,Male,Ukraine,Wrestling,Men's Greco-Roman 67kg
08-08-2024,Bronze Medal,JAFAROV Hasrat,Male,Azerbaijan,Wrestling,Men's Greco-Roman 67kg
08-08-2024,Bronze Medal,ORTA SANCHEZ Luis Alberto,Male,Cuba,Wrestling,Men's Greco-Roman 67kg
08-08-2024,Gold Medal,NOVIKOV Semen Sergeevich,Male,Bulgaria,Wrestling,Men's Greco-Roman 87kg
08-08-2024,Silver Medal,MOHMADIPIANI Alireza,Male,IR Iran,Wrestling,Men's Greco-Roman 87kg
08-08-2024,Bronze Medal,BELENIUK Zhan,Male,Ukraine,Wrestling,Men's Greco-Roman 87kg
08-08-2024,Bronze Medal,BISULTANOV Turpal Ali,Male,Denmark,Wrestling,Men's Greco-Roman 87kg
08-08-2024,Gold Medal,FUJINAMI Akari,Female,Japan,Wrestling,Women's Freestyle 53kg
08-08-2024,Silver Medal,YEPEZ GUZMAN Lucia Yamileth,Female,Ecuador,Wrestling,Women's Freestyle 53kg
08-08-2024,Bronze Medal,CHOE Hyo Gyong,Female,DPR Korea,Wrestling,Women's Freestyle 53kg
08-08-2024,Bronze Medal,PANG Qianyu,Female,China,Wrestling,Women's Freestyle 53kg
09-08-2024,Gold Medal,BENJAMIN Rai,Male,United States,Athletics,Men's 400m Hurdles
09-08-2024,Silver Medal,WARHOLM Karsten,Male,Norway,Athletics,Men's 400m Hurdles
09-08-2024,Bronze Medal,dos SANTOS Alison,Male,Brazil,Athletics,Men's 400m Hurdles
09-08-2024,Gold Medal,DIAZ FORTUN Jordan Alejandro,Male,Spain,Athletics,Men's Triple Jump
09-08-2024,Silver Medal,PICHARDO Pedro,Male,Portugal,Athletics,Men's Triple Jump
09-08-2024,Bronze Medal,DIAZ HERNANDEZ Andy,Male,Italy,Athletics,Men's Triple Jump
09-08-2024,Gold Medal,CHEBET Beatrice,Female,Kenya,Athletics,"Women's 10,000m"
09-08-2024,Silver Medal,BATTOCLETTI Nadia,Female,Italy,Athletics,"Women's 10,000m"
09-08-2024,Bronze Medal,HASSAN Sifan,Female,Netherlands,Athletics,"Women's 10,000m"
09-08-2024,Gold Medal,PAULINO Marileidy,Female,Dominican Republic,Athletics,Women's 400m
09-08-2024,Silver Medal,NASER Salwa Eid,Female,Bahrain,Athletics,Women's 400m
09-08-2024,Bronze Medal,KACZMAREK Natalia,Female,Poland,Athletics,Women's 400m
09-08-2024,Gold Medal,OGUNLEYE Yemisi,Female,Germany,Athletics,Women's Shot Put
09-08-2024,Silver Medal,WESCHE Maddison-Lee,Female,New Zealand,Athletics,Women's Shot Put
09-08-2024,Bronze Medal,SONG Jiayuan,Female,China,Athletics,Women's Shot Put
09-08-2024,Gold Medal,MUYDINKHUJAEV Asadkhuja,Male,Uzbekistan,Boxing,Men's 71kg
09-08-2024,Silver Medal,VERDE ALVAREZ Marco Alonso,Male,Mexico,Boxing,Men's 71kg
09-08-2024,Gold Medal,MULLOJONOV Lazizbek,Male,Uzbekistan,Boxing,Men's 92kg
09-08-2024,Silver Medal,ALFONSO DOMINGUEZ Loren Berto,Male,Azerbaijan,Boxing,Men's 92kg
09-08-2024,Gold Medal,WU Yu,Female,China,Boxing,Women's 50kg
09-08-2024,Silver Medal,CAKIROGLU Buse Naz,Female,Türkiye,Boxing,Women's 50kg
09-08-2024,Gold Medal,KHELIF Imane,Female,Algeria,Boxing,Women's 66kg
09-08-2024,Silver Medal,YANG Liu,Female,China,Boxing,Women's 66kg
09-08-2024,Gold Medal,AMI,Female,Japan,Breaking,B-Girls
09-08-2024,Silver Medal,NICKA,Female,Lithuania,Breaking,B-Girls
09-08-2024,Bronze Medal,671,Female,China,Breaking,B-Girls
09-08-2024,Gold Medal,FUKSA Martin,Male,Czechia,Canoe Sprint,Men's Canoe Single 1000m
09-08-2024,Silver Medal,QUEIROZ Isaquias,Male,Brazil,Canoe Sprint,Men's Canoe Single 1000m
09-08-2024,Bronze Medal,TARNOVSCHI Serghei,Male,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m
09-08-2024,Gold Medal,LAVREYSEN Harrie,Male,Netherlands,Cycling Track,Men's Sprint
09-08-2024,Silver Medal,RICHARDSON Matthew,Male,Australia,Cycling Track,Men's Sprint
09-08-2024,Bronze Medal,CARLIN Jack,Male,Great Britain,Cycling Track,Men's Sprint
09-08-2024,Gold Medal,CHEN Yiwen,Female,China,Diving,Women's 3m Springboard
09-08-2024,Silver Medal,KEENEY Maddison,Female,Australia,Diving,Women's 3m Springboard
09-08-2024,Bronze Medal,CHANG Yani,Female,China,Diving,Women's 3m Springboard
09-08-2024,Gold Medal,RASOVSZKY Kristof,Male,Hungary,Marathon Swimming,Men's 10km
09-08-2024,Silver Medal,KLEMET Oliver,Male,Germany,Marathon Swimming,Men's 10km
09-08-2024,Bronze Medal,BETLEHEM David,Male,Hungary,Marathon Swimming,Men's 10km
09-08-2024,Gold Medal,BONTUS Valentin,Male,Austria,Sailing,Men's Kite
09-08-2024,Silver Medal,VODISEK Toni,Male,Slovenia,Sailing,Men's Kite
09-08-2024,Bronze Medal,MAEDER Maximilian,Male,Singapore,Sailing,Men's Kite
09-08-2024,Gold Medal,ROBERTS Toby,Male,Great Britain,Sport Climbing,Men's Boulder & Lead
09-08-2024,Silver Medal,ANRAKU Sorato,Male,Japan,Sport Climbing,Men's Boulder & Lead
09-08-2024,Bronze Medal,SCHUBERT Jakob,Male,Austria,Sport Climbing,Men's Boulder & Lead
09-08-2024,Gold Medal,KATOUSSI Firas,Male,Tunisia,Taekwondo,Men -80kg
09-08-2024,Silver Medal,BARKHORDARI Mehran,Male,IR Iran,Taekwondo,Men -80kg
09-08-2024,Bronze Medal,ALESSIO Simone,Male,Italy,Taekwondo,Men -80kg
09-08-2024,Bronze Medal,HRNIC Edi,Male,Denmark,Taekwondo,Men -80kg
09-08-2024,Gold Medal,MARTON Viviana,Female,Hungary,Taekwondo,Women -67kg
09-08-2024,Silver Medal,PERISIC Aleksandra,Female,Serbia,Taekwondo,Women -67kg
09-08-2024,Bronze Medal,TEACHOUT Kristina,Female,United States,Taekwondo,Women -67kg
09-08-2024,Bronze Medal,CHAARI Sarah,Female,Belgium,Taekwondo,Women -67kg
09-08-2024,Gold Medal,NASAR Karlos May,Male,Bulgaria,Weightlifting,Men's 89kg
09-08-2024,Silver Medal,LOPEZ Yeison,Male,Colombia,Weightlifting,Men's 89kg
09-08-2024,Bronze Medal,PIZZOLATO Antonino,Male,Italy,Weightlifting,Men's 89kg
09-08-2024,Gold Medal,REEVES Olivia,Female,United States,Weightlifting,Women's 71kg
09-08-2024,Silver Medal,SANCHEZ Mari Leivis,Female,Colombia,Weightlifting,Women's 71kg
09-08-2024,Bronze Medal,PALACIOS DAJOMES Angie Paola,Female,Ecuador,Weightlifting,Women's 71kg
09-08-2024,Gold Medal,HIGUCHI Rei,Male,Japan,Wrestling,Men's Freestyle 57kg
09-08-2024,Silver Medal,LEE Spencer Richard,Male,United States,Wrestling,Men's Freestyle 57kg
09-08-2024,Bronze Medal,AMAN Aman,Male,India,Wrestling,Men's Freestyle 57kg
09-08-2024,Bronze Medal,ABDULLAEV Gulomjon,Male,Uzbekistan,Wrestling,Men's Freestyle 57kg
09-08-2024,Gold Medal,RAMAZANOV Magomed Eldarovitch,Male,Bulgaria,Wrestling,Men's Freestyle 86kg
09-08-2024,Silver Medal,YAZDANICHARATI Hassan,Male,IR Iran,Wrestling,Men's Freestyle 86kg
09-08-2024,Bronze Medal,BROOKS Aaron Marquel,Male,United States,Wrestling,Men's Freestyle 86kg
09-08-2024,Bronze Medal,KURUGLIEV Dauren,Male,Greece,Wrestling,Men's Freestyle 86kg
09-08-2024,Gold Medal,SAKURAI Tsugumi,Female,Japan,Wrestling,Women's Freestyle 57kg
09-08-2024,Silver Medal,NICHITA Anastasia,Female,Republic of Moldova,Wrestling,Women's Freestyle 57kg
09-08-2024,Bronze Medal,MAROULIS Helen Louise,Female,United States,Wrestling,Women's Freestyle 57kg
09-08-2024,Bronze Medal,HONG Kexin,Female,China,Wrestling,Women's Freestyle 57kg
10-08-2024,Gold Medal,INGEBRIGTSEN Jakob,Male,Norway,Athletics,Men's 5000m
10-08-2024,Silver Medal,KWEMOI Ronald,Male,Kenya,Athletics,Men's 5000m
10-08-2024,Bronze Medal,FISHER Grant,Male,United States,Athletics,Men's 5000m
10-08-2024,Gold Medal,WANYONYI Emmanuel,Male,Kenya,Athletics,Men's 800m
10-08-2024,Silver Medal,AROP Marco,Male,Canada,Athletics,Men's 800m
10-08-2024,Bronze Medal,SEDJATI Djamel,Male,Algeria,Athletics,Men's 800m
10-08-2024,Gold Medal,KERR Hamish,Male,New Zealand,Athletics,Men's High Jump
10-08-2024,Silver Medal,McEWEN Shelby,Male,United States,Athletics,Men's High Jump
10-08-2024,Bronze Medal,BARSHIM Mutaz Essa,Male,Qatar,Athletics,Men's High Jump
10-08-2024,Gold Medal,TOLA Tamirat,Male,Ethiopia,Athletics,Men's Marathon
10-08-2024,Silver Medal,ABDI Bashir,Male,Belgium,Athletics,Men's Marathon
10-08-2024,Bronze Medal,KIPRUTO Benson,Male,Kenya,Athletics,Men's Marathon
10-08-2024,Gold Medal,RUSSELL Masai,Female,United States,Athletics,Women's 100m Hurdles
10-08-2024,Silver Medal,SAMBA-MAYELA Cyrena,Female,France,Athletics,Women's 100m Hurdles
10-08-2024,Bronze Medal,CAMACHO-QUINN Jasmine,Female,Puerto Rico,Athletics,Women's 100m Hurdles
10-08-2024,Gold Medal,KIPYEGON Faith,Female,Kenya,Athletics,Women's 1500m
10-08-2024,Silver Medal,HULL Jessica,Female,Australia,Athletics,Women's 1500m
10-08-2024,Bronze Medal,BELL Georgia,Female,Great Britain,Athletics,Women's 1500m
10-08-2024,Gold Medal,KITAGUCHI Haruka,Female,Japan,Athletics,Women's Javelin Throw
10-08-2024,Silver Medal,van DYK Jo-Ane,Female,South Africa,Athletics,Women's Javelin Throw
10-08-2024,Bronze Medal,OGRODNIKOVA Nikola,Female,Czechia,Athletics,Women's Javelin Throw
10-08-2024,Gold Medal,JALOLOV Bakhodir,Male,Uzbekistan,Boxing,Men's +92kg
10-08-2024,Silver Medal,GHADFA DRISSI EL AISSAOUI Ayoub,Male,Spain,Boxing,Men's +92kg
10-08-2024,Gold Medal,KHALOKOV Abdumalik,Male,Uzbekistan,Boxing,Men's 57kg
10-08-2024,Silver Medal,SEIITBEK UULU Munarbek,Male,Kyrgyzstan,Boxing,Men's 57kg
10-08-2024,Gold Medal,LIN Yu Ting,Female,Chinese Taipei,Boxing,Women's 57kg
10-08-2024,Silver Medal,SZEREMETA Julia,Female,Poland,Boxing,Women's 57kg
10-08-2024,Gold Medal,LI Qian,Female,China,Boxing,Women's 75kg
10-08-2024,Silver Medal,BYLON Atheyna Bibeichi,Female,Panama,Boxing,Women's 75kg
10-08-2024,Gold Medal,PHIL WIZARD,Male,Canada,Breaking,B-Boys
10-08-2024,Silver Medal,DANY DANN,Male,France,Breaking,B-Boys
10-08-2024,Bronze Medal,VICTOR,Male,United States,Breaking,B-Boys
10-08-2024,Gold Medal,DOSTAL Josef,Male,Czechia,Canoe Sprint,Men's Kayak Single 1000m
10-08-2024,Silver Medal,VARGA Adam,Male,Hungary,Canoe Sprint,Men's Kayak Single 1000m
10-08-2024,Bronze Medal,KOPASZ Balint,Male,Hungary,Canoe Sprint,Men's Kayak Single 1000m
10-08-2024,Gold Medal,VINCENT Katie,Female,Canada,Canoe Sprint,Women's Canoe Single 200m
10-08-2024,Silver Medal,HARRISON Nevin,Female,United States,Canoe Sprint,Women's Canoe Single 200m
10-08-2024,Bronze Medal,CIRILO DUBOYS Yarisleidis,Female,Cuba,Canoe Sprint,Women's Canoe Single 200m
10-08-2024,Gold Medal,CARRINGTON Lisa,Female,New Zealand,Canoe Sprint,Women's Kayak Single 500m
10-08-2024,Silver Medal,CSIPES Tamara,Female,Hungary,Canoe Sprint,Women's Kayak Single 500m
10-08-2024,Bronze Medal,JORGENSEN Emma Aastrand,Female,Denmark,Canoe Sprint,Women's Kayak Single 500m
10-08-2024,Gold Medal,CAO Yuan,Male,China,Diving,Men's 10m Platform
10-08-2024,Silver Medal,TAMAI Rikuto,Male,Japan,Diving,Men's 10m Platform
10-08-2024,Bronze Medal,WILLIAMS Noah,Male,Great Britain,Diving,Men's 10m Platform
10-08-2024,Gold Medal,KO Lydia,Female,New Zealand,Golf,Women's Individual Stroke Play
10-08-2024,Silver Medal,HENSELEIT Esther,Female,Germany,Golf,Women's Individual Stroke Play
10-08-2024,Bronze Medal,LIN Xiyu Janet,Female,China,Golf,Women's Individual Stroke Play
10-08-2024,Gold Medal,ELGENDY Ahmed,Male,Egypt,Modern Pentathlon,Men's Individual
10-08-2024,Silver Medal,SATO Taishu,Male,Japan,Modern Pentathlon,Men's Individual
10-08-2024,Bronze Medal,MALAN Giorgio,Male,Italy,Modern Pentathlon,Men's Individual
10-08-2024,Gold Medal,GARNBRET Janja,Female,Slovenia,Sport Climbing,Women's Boulder & Lead
10-08-2024,Silver Medal,RABOUTOU Brooke,Female,United States,Sport Climbing,Women's Boulder & Lead
10-08-2024,Bronze Medal,PILZ Jessica,Female,Austria,Sport Climbing,Women's Boulder & Lead
10-08-2024,Gold Medal,SALIMI Arian,Male,IR Iran,Taekwondo,Men +80kg
10-08-2024,Silver Medal,CUNNINGHAM Caden,Male,Great Britain,Taekwondo,Men +80kg
10-08-2024,Bronze Medal,ALBA Rafael,Male,Cuba,Taekwondo,Men +80kg
10-08-2024,Bronze Medal,CISSE Cheick Sallah,Male,Côte d'Ivoire,Taekwondo,Men +80kg
10-08-2024,Gold Medal,LAURIN Althea,Female,France,Taekwondo,Women +67kg
10-08-2024,Silver Medal,OSIPOVA Svetlana,Female,Uzbekistan,Taekwondo,Women +67kg
10-08-2024,Bronze Medal,LEE Dabin,Female,Korea,Taekwondo,Women +67kg
10-08-2024,Bronze Medal,KUS AYDIN Nafia,Female,Türkiye,Taekwondo,Women +67kg
10-08-2024,Gold Medal,TALAKHADZE Lasha,Male,Georgia,Weightlifting,Men's +102kg
10-08-2024,Silver Medal,LALAYAN Varazdat,Male,Armenia,Weightlifting,Men's +102kg
10-08-2024,Bronze Medal,MINASYAN Gor,Male,Bahrain,Weightlifting,Men's +102kg
10-08-2024,Gold Medal,LIU Huanhua,Male,China,Weightlifting,Men's 102kg
10-08-2024,Silver Medal,DJURAEV Akbar,Male,Uzbekistan,Weightlifting,Men's 102kg
10-08-2024,Bronze Medal,TSIKHANTSOU Yauheni,Male,AIN,Weightlifting,Men's 102kg
10-08-2024,Gold Medal,KOANDA Solfrid Eila Amena,Female,Norway,Weightlifting,Women's 81kg
10-08-2024,Silver Medal,AHMED Sara,Female,Egypt,Weightlifting,Women's 81kg
10-08-2024,Bronze Medal,DAJOMES BARRERA Neisi Patricia,Female,Ecuador,Weightlifting,Women's 81kg
10-08-2024,Gold Medal,PETRIASHVILI Geno,Male,Georgia,Wrestling,Men's Freestyle 125kg
10-08-2024,Silver Medal,ZARE Amir Hossein,Male,IR Iran,Wrestling,Men's Freestyle 125kg
10-08-2024,Bronze Medal,AKGUL Taha,Male,Türkiye,Wrestling,Men's Freestyle 125kg
10-08-2024,Bronze Medal,MESHVILDISHVILI Giorgi,Male,Azerbaijan,Wrestling,Men's Freestyle 125kg
10-08-2024,Gold Medal,JAMALOV Razambek Salambekovitch,Male,Uzbekistan,Wrestling,Men's Freestyle 74kg
10-08-2024,Silver Medal,TAKATANI Daichi,Male,Japan,Wrestling,Men's Freestyle 74kg
10-08-2024,Bronze Medal,DAKE Kyle Douglas,Male,United States,Wrestling,Men's Freestyle 74kg
10-08-2024,Bronze Medal,VALIEV Chermen,Male,Albania,Wrestling,Men's Freestyle 74kg
10-08-2024,Gold Medal,MOTOKI Sakura,Female,Japan,Wrestling,Women's Freestyle 62kg
10-08-2024,Silver Medal,KOLIADENKO Iryna,Female,Ukraine,Wrestling,Women's Freestyle 62kg
10-08-2024,Bronze Medal,TYNYBEKOVA Aisuluu,Female,Kyrgyzstan,Wrestling,Women's Freestyle 62kg
10-08-2024,Bronze Medal,BULLEN Grace Jacob,Female,Norway,Wrestling,Women's Freestyle 62kg
11-08-2024,Gold Medal,HASSAN Sifan,Female,Netherlands,Athletics,Women's Marathon
11-08-2024,Silver Medal,ASSEFA Tigst,Female,Ethiopia,Athletics,Women's Marathon
11-08-2024,Bronze Medal,OBIRI Hellen,Female,Kenya,Athletics,Women's Marathon
11-08-2024,Gold Medal,LAVREYSEN Harrie,Male,Netherlands,Cycling Track,Men's Keirin
11-08-2024,Silver Medal,RICHARDSON Matthew,Male,Australia,Cycling Track,Men's Keirin
11-08-2024,Bronze Medal,GLAETZER Matthew,Male,Australia,Cycling Track,Men's Keirin
11-08-2024,Gold Medal,VALENTE Jennifer,Female,United States,Cycling Track,Women's Omnium
11-08-2024,Silver Medal,PIKULIK Daria,Female,Poland,Cycling Track,Women's Omnium
11-08-2024,Bronze Medal,WOLLASTON Ally,Female,New Zealand,Cycling Track,Women's Omnium
11-08-2024,Gold Medal,ANDREWS Ellesse,Female,New Zealand,Cycling Track,Women's Sprint
11-08-2024,Silver Medal,FRIEDRICH Lea,Female,Germany,Cycling Track,Women's Sprint
11-08-2024,Bronze Medal,FINUCANE Emma,Female,Great Britain,Cycling Track,Women's Sprint
11-08-2024,Gold Medal,GULYAS Michelle,Female,Hungary,Modern Pentathlon,Women's Individual
11-08-2024,Silver Medal,CLOUVEL Elodie,Female,France,Modern Pentathlon,Women's Individual
11-08-2024,Bronze Medal,SEONG Seungmin,Female,Korea,Modern Pentathlon,Women's Individual
11-08-2024,Gold Medal,LI Wenwen,Female,China,Weightlifting,Women's +81kg
11-08-2024,Silver Medal,PARK Hyejeong,Female,Korea,Weightlifting,Women's +81kg
11-08-2024,Bronze Medal,CAMPBELL Emily,Female,Great Britain,Weightlifting,Women's +81kg
11-08-2024,Gold Medal,KIYOOKA Kotaro,Male,Japan,Wrestling,Men's Freestyle 65kg
11-08-2024,Silver Medal,AMOUZADKHALILI Rahman,Male,IR Iran,Wrestling,Men's Freestyle 65kg
11-08-2024,Bronze Medal,RIVERA Sebastian C,Male,Puerto Rico,Wrestling,Men's Freestyle 65kg
11-08-2024,Bronze Medal,DUDAEV Islam,Male,Albania,Wrestling,Men's Freestyle 65kg
11-08-2024,Gold Medal,TAZHUDINOV Akhmed,Male,Bahrain,Wrestling,Men's Freestyle 97kg
11-08-2024,Silver Medal,MATCHARASHVILI Givi,Male,Georgia,Wrestling,Men's Freestyle 97kg
11-08-2024,Bronze Medal,MAGOMEDOV Magomedkhan,Male,Azerbaijan,Wrestling,Men's Freestyle 97kg
11-08-2024,Bronze Medal,AZARPIRA Amirali,Male,IR Iran,Wrestling,Men's Freestyle 97kg
11-08-2024,Gold Medal,KAGAMI Yuka,Female,Japan,Wrestling,Women's Freestyle 76kg
11-08-2024,Silver Medal,BLADES Kennedy Alexis,Female,United States,Wrestling,Women's Freestyle 76kg
11-08-2024,Bronze Medal,MARIN POTRILLE Milaimy de la Carid,Female,Cuba,Wrestling,Women's Freestyle 76kg
11-08-2024,Bronze Medal,RENTERIA RENTERIA Tatiana,Female,Colombia,Wrestling,Women's Freestyle 76kg
09-08-2024,Gold Medal,VARFOLOMEEV Darja,Female,Germany,Rhythmic Gymnastics,Individual All-Around
09-08-2024,Silver Medal,KALEYN Boryana,Female,Bulgaria,Rhythmic Gymnastics,Individual All-Around
09-08-2024,Bronze Medal,RAFFAELI Sofia,Female,Italy,Rhythmic Gymnastics,Individual All-Around
09-08-2024,Gold Medal,THIAM Nafissatou,Female,Belgium,Athletics,Women's Heptathlon
09-08-2024,Silver Medal,JOHNSON-THOMPSON Katarina,Female,Great Britain,Athletics,Women's Heptathlon
09-08-2024,Bronze Medal,VIDTS Noor,Female,Belgium,Athletics,Women's Heptathlon
27-07-2024,Gold Medal,CHANG Yani,Female,China,Diving,Women's Synchronised 3m Springboard
27-07-2024,Gold Medal,CHEN Yiwen,Female,China,Diving,Women's Synchronised 3m Springboard
27-07-2024,Silver Medal,BACON Sarah,Female,United States,Diving,Women's Synchronised 3m Springboard
27-07-2024,Silver Medal,COOK Kassidy,Female,United States,Diving,Women's Synchronised 3m Springboard
27-07-2024,Bronze Medal,HARPER Yasmin,Female,Great Britain,Diving,Women's Synchronised 3m Springboard
27-07-2024,Bronze Medal,MEW JENSEN Scarlett,Female,Great Britain,Diving,Women's Synchronised 3m Springboard
27-07-2024,Gold Medal,PASQUET Varian,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,TIMO Andy,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,REBBADJ Rayan,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,FORNER Theo,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,PAREZ EDO MARTIN Stephen,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,RIVA Paulin,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,JOSEPH Jefferson-Lee,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,ZEGHDAR Antoine,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,GRANDIDIER NKANANG Aaron,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,BARRAQUE Jean Pascal,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,DUPONT Antoine,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,SEPHO Jordan,Male,France,Rugby Sevens,Men
27-07-2024,Gold Medal,EPEE Nelson,Male,France,Rugby Sevens,Men
27-07-2024,Silver Medal,NASOVA Joji,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,TALACOLO Joseva,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,MATANA Jeremaia,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,MOCENACAGI Sevuloni,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,BALEIWAIRIKI Iosefo,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,LOGANIMASI Ponipate,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,VEILAWA Terio Tamani,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,NACUQU Waisea,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,TUWAI Jerry,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,TEBA Iowane,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,RASAKU Kaminieli,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,RAVUTAUMADA Selesitino,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,JOSAIA Raisuqe,Male,Fiji,Rugby Sevens,Men
27-07-2024,Silver Medal,SAUTURAGA Filipe,Male,Fiji,Rugby Sevens,Men
27-07-2024,Bronze Medal,GROBBELAAR Christie,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,OOSTHUIZEN Ryan,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,VISSER Impi,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,DAVIDS Zain,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,NORTJE Quewin,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,PRETORIUS Tiaan,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,LEYDS Tristan,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,DAVIDS Selvyn,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,WILLIAMS Shaun,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,SPECMAN Rosko,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,SOYIZWAPI Siviwe,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,van WYK Shilton,Male,South Africa,Rugby Sevens,Men
27-07-2024,Bronze Medal,BROWN Ronald,Male,South Africa,Rugby Sevens,Men
27-07-2024,Gold Medal,HUANG Yuting,Female,China,Shooting,10m Air Rifle Mixed Team
27-07-2024,Gold Medal,SHENG Lihao,Male,China,Shooting,10m Air Rifle Mixed Team
27-07-2024,Silver Medal,KEUM Jihyeon,Female,Korea,Shooting,10m Air Rifle Mixed Team
27-07-2024,Silver Medal,PARK Hajun,Male,Korea,Shooting,10m Air Rifle Mixed Team
27-07-2024,Bronze Medal,LE Alexandra,Female,Kazakhstan,Shooting,10m Air Rifle Mixed Team
27-07-2024,Bronze Medal,SATPAYEV Islam,Male,Kazakhstan,Shooting,10m Air Rifle Mixed Team
27-07-2024,Gold Medal,HELD Ryan,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Gold Medal,KING Matt,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Gold Medal,ARMSTRONG Hunter,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Gold Medal,DRESSEL Caeleb,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Gold Medal,ALEXY Jack,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Gold Medal,GUILIANO Chris,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Silver Medal,CARTWRIGHT Jack,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Silver Medal,YANG William,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Silver Medal,SOUTHAM Flynn,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Silver Medal,CHALMERS Kyle,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Silver Medal,TAYLOR Kai,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Bronze Medal,ZAZZERI Lorenzo,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay
27-07-2024,Bronze Medal,DEPLANO Leonardo,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay
